id,education,marital_status,income,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,response,complain,country,age,spending,dependents,year_customer,total_purchases,total_campaigns_acc
1826,Graduation,single,84835.0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,53,1190,0,2014,15,1.0
1,Graduation,single,57091.0,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,62,577,0,2014,18,11.0
10476,Graduation,couple,67267.0,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,65,251,1,2014,11,0.0
1386,Graduation,couple,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,56,11,2,2014,4,0.0
5371,Graduation,single,21474.0,0,6,16,24,11,0,34,2,3,1,2,7,1,1,0,0,0,1,0,SP,34,91,1,2014,8,110001.0
7348,PhD,single,71691.0,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,65,1192,0,2014,17,1.0
4073,2n Cycle,couple,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,1,1,0,0,0,1,0,GER,69,1215,0,2014,28,110001.0
1991,Graduation,couple,44931.0,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,56,96,1,2014,7,0.0
4047,PhD,couple,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,69,544,1,2014,20,0.0
9477,PhD,couple,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,69,544,1,2014,20,0.0
2079,2n Cycle,couple,81044.0,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,76,1208,0,2013,22,0.0
5642,Master,couple,62499.0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,44,222,1,2013,12,0.0
10530,PhD,single,67786.0,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND,64,1156,0,2013,16,1.0
2964,Graduation,couple,26872.0,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,CA,42,72,0,2013,5,0.0
10311,Graduation,couple,4428.0,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP,54,359,1,2013,25,0.0
837,Graduation,couple,54809.0,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP,46,174,2,2013,12,0.0
10521,Graduation,couple,54809.0,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP,46,174,2,2013,12,1.0
10175,PhD,single,32173.0,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP,65,22,1,2013,5,0.0
1473,2n Cycle,single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA,63,72,1,2013,7,0.0
2795,Master,single,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,65,13,3,2013,4,0.0
2285,Master,couple,36634.0,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA,69,335,1,2013,15,0.0
115,Master,single,43456.0,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,IND,57,393,1,2013,17,0.0
10470,Master,couple,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,GER,44,92,1,2013,8,0.0
4065,PhD,couple,49544.0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP,47,404,1,2013,16,0.0
